,file,category,category_id
0,0021e90e4.png,Small-flowered Cranesbill,10
1,003d61042.png,Fat Hen,5
2,007b3da8b.png,Sugar beet,11
3,0086a6340.png,Common Chickweed,3
4,00c47e980.png,Sugar beet,11
5,00d090cde.png,Loose Silky-bent,6
6,00ef713a8.png,Common Chickweed,3
7,01291174f.png,Fat Hen,5
8,026716f9b.png,Loose Silky-bent,6
9,02cfeb38d.png,Loose Silky-bent,6
10,03566743d.png,Common Chickweed,3
11,03a2ee656.png,Small-flowered Cranesbill,10
12,03e322a29.png,Sugar beet,11
13,03ef36742.png,Scentless Mayweed,8
14,043449b0b.png,Sugar beet,11
15,0437393b1.png,Fat Hen,5
16,04814f36d.png,Common Chickweed,3
17,05341a8a6.png,Scentless Mayweed,8
18,060450d79.png,Common Chickweed,3
19,060f1dc84.png,Shepherds Purse,9
20,0625f063b.png,Common Chickweed,3
21,063363305.png,Small-flowered Cranesbill,10
22,06d12f6fa.png,Shepherds Purse,9
23,071cb3ece.png,Sugar beet,11
24,0751c0bbc.png,Sugar beet,11
25,07e62f903.png,Maize,7
26,085974290.png,Scentless Mayweed,8
27,0885e7690.png,Scentless Mayweed,8
28,089ad62a7.png,Common Chickweed,3
29,08d591441.png,Sugar beet,11
30,0911d3dee.png,Common Chickweed,3
31,099b961ec.png,Common Chickweed,3
32,0a64e3e6c.png,Loose Silky-bent,6
33,0ad9e7dfb.png,Maize,7
34,0ae6668fa.png,Loose Silky-bent,6
35,0bf7bfb05.png,Fat Hen,5
36,0c27cf05f.png,Loose Silky-bent,6
37,0c4199daa.png,Loose Silky-bent,6
38,0c45ace27.png,Fat Hen,5
39,0c51bf229.png,Maize,7
40,0c5f6c493.png,Loose Silky-bent,6
41,0caeda5df.png,Common wheat,4
42,0d117d910.png,Common Chickweed,3
43,0d31e6602.png,Small-flowered Cranesbill,10
44,0dba99002.png,Sugar beet,11
45,0e8492cb1.png,Sugar beet,11
46,0ebf8f2f4.png,Maize,7
47,0ee4ad224.png,Scentless Mayweed,8
48,0f6cbe5e8.png,Maize,7
49,0fb233ad6.png,Small-flowered Cranesbill,10
50,115f93ecc.png,Loose Silky-bent,6
51,116b136de.png,Sugar beet,11
52,1191ba346.png,Cleavers,2
53,11d3f68ff.png,Loose Silky-bent,6
54,122913909.png,Maize,7
55,12625488b.png,Fat Hen,5
56,126a71ce0.png,Charlock,1
57,1312065a5.png,Small-flowered Cranesbill,10
58,1364b297a.png,Cleavers,2
59,1376f3b63.png,Loose Silky-bent,6
60,13b9fa92d.png,Sugar beet,11
61,1459e96a0.png,Cleavers,2
62,148bbda66.png,Charlock,1
63,14bb43eee.png,Common wheat,4
64,1541bdb2e.png,Maize,7
65,1623fb9e1.png,Fat Hen,5
66,16357b436.png,Loose Silky-bent,6
67,16467a950.png,Loose Silky-bent,6
68,165681fd9.png,Common Chickweed,3
69,1694a70e4.png,Scentless Mayweed,8
70,16fd2e01a.png,Small-flowered Cranesbill,10
71,172f9b10b.png,Fat Hen,5
72,17529c555.png,Shepherds Purse,9
73,1758a1baf.png,Common Chickweed,3
74,177d7e2a4.png,Fat Hen,5
75,17a78fb44.png,Common wheat,4
76,17d5e5ac4.png,Loose Silky-bent,6
77,1821eb11a.png,Scentless Mayweed,8
78,187668bde.png,Scentless Mayweed,8
79,1926e82fd.png,Loose Silky-bent,6
80,19618ad6a.png,Scentless Mayweed,8
81,19b51843a.png,Common Chickweed,3
82,19e58cc5e.png,Common Chickweed,3
83,19fdf19fb.png,Common wheat,4
84,1b490196c.png,Shepherds Purse,9
85,1b6a6494d.png,Sugar beet,11
86,1be0713da.png,Cleavers,2
87,1bf9b94a6.png,Scentless Mayweed,8
88,1c52ea820.png,Sugar beet,11
89,1c680883c.png,Loose Silky-bent,6
90,1cfd91582.png,Charlock,1
91,1d0cbd819.png,Loose Silky-bent,6
92,1d321253f.png,Fat Hen,5
93,1d48b7564.png,Loose Silky-bent,6
94,1d56351b2.png,Common Chickweed,3
95,1dc7c45df.png,Loose Silky-bent,6
96,1e095a7e1.png,Small-flowered Cranesbill,10
97,1f290e016.png,Scentless Mayweed,8
98,1f3f44563.png,Maize,7
99,1f5e5554e.png,Small-flowered Cranesbill,10
100,1fefb54b7.png,Sugar beet,11
101,205df1df3.png,Sugar beet,11
102,20817c846.png,Scentless Mayweed,8
103,20e562fd5.png,Sugar beet,11
104,20ea96bcc.png,Fat Hen,5
105,20f983a71.png,Fat Hen,5
106,2126dc71b.png,Common Chickweed,3
107,219fd68d5.png,Scentless Mayweed,8
108,223e4af09.png,Cleavers,2
109,22e79540f.png,Cleavers,2
110,22fbf13d6.png,Loose Silky-bent,6
111,239bdf640.png,Charlock,1
112,23bc8ec4f.png,Common Chickweed,3
113,23e480e64.png,Common Chickweed,3
114,2406d6c99.png,Common Chickweed,3
115,241e6935a.png,Sugar beet,11
116,248436078.png,Cleavers,2
117,24a058589.png,Charlock,1
118,24c94a6ca.png,Sugar beet,11
119,24d36c52c.png,Common Chickweed,3
120,24d78df74.png,Sugar beet,11
121,24dbc3b21.png,Sugar beet,11
122,258b1183c.png,Cleavers,2
123,25a4c427e.png,Loose Silky-bent,6
124,25cf6eb73.png,Maize,7
125,25fa8d109.png,Common wheat,4
126,26852751a.png,Charlock,1
127,2693e5c65.png,Maize,7
128,26e7ae885.png,Fat Hen,5
129,270b939cf.png,Common Chickweed,3
130,279df95f2.png,Sugar beet,11
131,288564c76.png,Sugar beet,11
132,29bab7cad.png,Common Chickweed,3
133,29ce426a1.png,Fat Hen,5
134,29f49cd0b.png,Fat Hen,5
135,2a5064f19.png,Common wheat,4
136,2a667e099.png,Fat Hen,5
137,2b55a2da2.png,Charlock,1
138,2bd74d2da.png,Loose Silky-bent,6
139,2d5058a59.png,Common Chickweed,3
140,2d992d1fb.png,Loose Silky-bent,6
141,2d9c798f9.png,Small-flowered Cranesbill,10
142,2dd5cfba9.png,Shepherds Purse,9
143,2df78338c.png,Common Chickweed,3
144,2e86f1085.png,Fat Hen,5
145,2ea664465.png,Sugar beet,11
146,2f0004a7f.png,Common wheat,4
147,2f246d688.png,Small-flowered Cranesbill,10
148,2ff5cb348.png,Sugar beet,11
149,30ad31220.png,Charlock,1
150,3185294c8.png,Scentless Mayweed,8
151,31f3dd81f.png,Loose Silky-bent,6
152,31fcdc161.png,Maize,7
153,3281183f9.png,Scentless Mayweed,8
154,32a8c8a1d.png,Loose Silky-bent,6
155,32b42c120.png,Small-flowered Cranesbill,10
156,32c86784b.png,Common Chickweed,3
157,33317fc2a.png,Fat Hen,5
158,33448fe39.png,Loose Silky-bent,6
159,33748968f.png,Cleavers,2
160,338c7e907.png,Charlock,1
161,34dd57ca9.png,Loose Silky-bent,6
162,3526b05cc.png,Scentless Mayweed,8
163,35a90f8d0.png,Common Chickweed,3
164,35cf9fa01.png,Shepherds Purse,9
165,35ebe165c.png,Black-grass,0
166,36839d5e9.png,Scentless Mayweed,8
167,36d62bf36.png,Common wheat,4
168,36ed4f215.png,Sugar beet,11
169,37297a64c.png,Common Chickweed,3
170,37714071b.png,Shepherds Purse,9
171,377283a21.png,Maize,7
172,37c3108d6.png,Common Chickweed,3
173,37e545a60.png,Fat Hen,5
174,3827436f3.png,Fat Hen,5
175,38c054379.png,Small-flowered Cranesbill,10
176,391dcd7fd.png,Loose Silky-bent,6
177,39858776a.png,Cleavers,2
178,39b740f7e.png,Loose Silky-bent,6
179,39c8fde99.png,Loose Silky-bent,6
180,39d569be4.png,Loose Silky-bent,6
181,3a909ead8.png,Small-flowered Cranesbill,10
182,3abb502fb.png,Loose Silky-bent,6
183,3b73c3b61.png,Loose Silky-bent,6
184,3bbef3ecb.png,Scentless Mayweed,8
185,3d38a87bc.png,Loose Silky-bent,6
186,3d65168c2.png,Common Chickweed,3
187,3d67c434b.png,Fat Hen,5
188,3da774107.png,Fat Hen,5
189,3dd52bd2a.png,Small-flowered Cranesbill,10
190,3e9f41817.png,Loose Silky-bent,6
191,3ebbe9ca4.png,Charlock,1
192,3eda9cbb6.png,Scentless Mayweed,8
193,3edf5e9ef.png,Common wheat,4
194,3eebd36c6.png,Charlock,1
195,3efa1f66c.png,Loose Silky-bent,6
196,3f64c2c1b.png,Common wheat,4
197,3f826b318.png,Common Chickweed,3
198,3f92d8039.png,Loose Silky-bent,6
199,3fbd0fc6a.png,Common Chickweed,3
200,3fbf1a417.png,Cleavers,2
201,4049a6ea6.png,Loose Silky-bent,6
202,406162ef9.png,Charlock,1
203,406ecb5c5.png,Charlock,1
204,410e6f702.png,Small-flowered Cranesbill,10
205,41e07778c.png,Cleavers,2
206,41f1c3cdb.png,Fat Hen,5
207,4287d810c.png,Common Chickweed,3
208,429211ee6.png,Fat Hen,5
209,42e7ed442.png,Common Chickweed,3
210,4392d93cf.png,Sugar beet,11
211,43ede9de9.png,Charlock,1
212,444473900.png,Fat Hen,5
213,446f7da01.png,Loose Silky-bent,6
214,44e8b8833.png,Small-flowered Cranesbill,10
215,456d507c0.png,Cleavers,2
216,466bb6d3b.png,Charlock,1
217,46c14fde2.png,Loose Silky-bent,6
218,47b7d8e17.png,Small-flowered Cranesbill,10
219,47f9e5d91.png,Common Chickweed,3
220,48231e475.png,Scentless Mayweed,8
221,4823c3ffa.png,Loose Silky-bent,6
222,486e59179.png,Common Chickweed,3
223,48d97c645.png,Small-flowered Cranesbill,10
224,48ef6a2ff.png,Common wheat,4
225,490c4f9c8.png,Fat Hen,5
226,4a337a4a9.png,Fat Hen,5
